singer,num_song,meanthumb,meansenti
鷺巣詩郎,1,1651.0,1.0
Junk,1,2105.0,0.0833333333335
Spaarkey,1,2457.4,0.165405405405
K2 SOUND,1,4102.25,-0.0307692307692
Hello Gayoung,1,1505.0,-0.25
万晓利,4,3874.93333333,0.0969747186949
浩子,1,1532.0,0.277777777778
妹尾武,2,4619.7,0.0828463203463
冷漠,1,1692.0,0.25
千住明,1,1511.0,0.0666666666667
Scott Bradley,2,5221.75,0.0395202020201
The Platters,1,3862.0,0.0485714285714
曾婕Joey.Z,1,2931.4,0.106494022773
Adventure Club,1,2111.0,0.25
同恩,1,1872.0,0.0520833333335
Glenna,1,4438.88888889,0.102517235851
Connie Francis,1,1912.33333333,-0.130952380952
Brand X Music,3,5829.33333333,-0.0672160198476
唐妞,1,1656.0,0.0
Worezh,1,2634.2,0.09
Glenn Gould,1,1834.33333333,-0.0925505050504
Fleurie,3,3408.4,0.0153781512604
Danelle,1,2959.75,0.314484126984
萧萧,1,2866.0,0.0917374517374
ONE OK ROCK,11,4303.24242424,0.0933717095121
崔羽明,1,5754.66666667,0.220875420875
Enrique Iglesias,5,2900.18181818,0.0580757477817
万茜,1,2540.5,0.0244391025641
Childsion,1,2586.0,0.0
梁博,3,2514.0,0.0750601794719
任路加,2,10144.8181818,0.0872198921768
Nelly & Kelly Rowland,1,2737.0,0.0107142857143
Lil Uzi Vert,1,2823.0,-0.5
V,2,3192.71428571,0.106590047383
大西沙織,1,2803.5,0.238095238095
奥博,1,2514.0,0.111111111111
哪吒,1,1637.0,-0.0333333333333
野菊花,1,4361.46666667,0.0545979786327
Della,1,3210.0,0.0
新社会人,3,2121.125,-0.00702711640214
LaRry Rong,2,6033.71428571,0.0437234390324
Elliot Hamilton Brown,1,3356.33333333,0.200396825397
Ludacris,1,1571.5,0.0
吴汶芳,1,2377.5,0.183823529412
Al Rocco,1,3089.75,-0.00093808630395
蒋山,1,2507.66666667,0.007265329846
刀郎,9,4370.63157895,0.0210900504805
